90: 0x2D2AF322
26818: 0x0B6B04CA
26951: 0xBF450129
27095: 0x7BD79CF9
27104: 0xCA82E180
27155: 0x870A4105
27186: 0x9DAB22BA
27211: 0xD5F80D9D
27213: 0x7BC682CF
27228: 0x4EF4525C
27265: 0x70ADB613
27302: 0x5A085A2E
27411: 0x002DA605
27412: 0xA8E39694
27451: 0x0002804D
27623: 0xE1025C49
27661: 0x6547898F
27664: 0x21DD7EB0
27701: 0x9D993817
27710: 0x16BA8406
27712: 0x87363DE0
27715: 0xF79B77F5
27910: 0x21DAF38E
27937: 0x386F9233
27941: 0x21D2E047
28018: 0xF7A863FA
28037: 0x9D9CE927
28053: 0x9D9025F7
28064: 0x0B577940
28151: 0xBF620F99
28215: 0x384CBCD9
28285: 0xD5D2973F
28401: 0x0B687CC3
28405: 0x0017E3D7
28420: 0xA8C64C84
28435: 0x21C33A05
28450: 0x38475C2A
28498: 0xE11AF2DA
28588: 0xCAA2E3AC
28639: 0x873CD721
28697: 0x4ED804CB
28735: 0xCAB3BF01
28744: 0x657F13E8
28746: 0x65673592
28779: 0x384E6C3D
28868: 0x7BCEFE44
28961: 0x16830633
29051: 0x65621F8D
29152: 0xA8EC6980
29168: 0x0B40EE90
29186: 0xF7952C0A
29190: 0xF7ADC08E
29300: 0xB41765F4
29301: 0x9DBF2157
29321: 0x21F9A37B
29335: 0xEC402CB9
29350: 0x0B7DA22E
29358: 0x8709AFF6
29404: 0x8710EADC
29489: 0x4391D803
29521: 0x0011C3A3
29560: 0x21D74018
29586: 0xEC62AD1A
29604: 0x92543124
29633: 0xD5D2B253
29646: 0xEC43DA16
29669: 0x6564D007
29714: 0x2D0C199A
29716: 0x924F9F94
29744: 0x002FCCD0
29751: 0x872BFAD9
29775: 0x4EE57A51
29814: 0xF7AFE67E
29849: 0x70B2974B
29874: 0x4EC9493A
29918: 0x5A0639A6
29923: 0x655ABF15
29933: 0x0032ECEF
30003: 0xD5F7ACA5
30129: 0xE12FA083
30309: 0x00370087
30338: 0x6545DC8A
30345: 0x8735977B
30438: 0xD5E6106E
30468: 0xF7845484
30504: 0xE11A18C8
30591: 0xEC48E741
30605: 0x4EDBBF0F
30634: 0x708491F2
30696: 0x7BF1B588
30704: 0x9D8D9490
30848: 0xA8E85620
30852: 0x70987604
30870: 0xA8FC4F9E
30900: 0x65406C34
30909: 0x9D97DC7F
30925: 0xF7BA9F4F
30934: 0xB42909DE
30941: 0xF7BBB61F
31057: 0x000D71A3
31058: 0x656B6CDA
31064: 0x439F9BF8
31073: 0x9DA1C573
31076: 0x7BF946E4
31084: 0x1692756C
31137: 0xB422DCB3
31166: 0x871AFD86
31192: 0x4EF92478
31198: 0x9DA5E6A6
31219: 0xD5F2CC65
31253: 0x4EC0F877
31378: 0x70819C1A
31422: 0x4EE80686
31469: 0x43A2BAEF
31476: 0x2D09AE74
31485: 0x0031F9BF
31546: 0xA8C53F02
31570: 0x0B451EDA
31717: 0x2D0A3807
31720: 0x873AF988
31856: 0x92619110
31904: 0xD5D85840
31996: 0x21C780FC
32024: 0x92647BB8
32074: 0xCA909A92
32090: 0xE1048822
32173: 0x925DEEAF
32210: 0x4EEBBD5A
32238: 0x9D9E2536
32275: 0x65662505
32343: 0x870F1B79
32392: 0xEC519628
32541: 0x9D91A75F
32596: 0x21C74AD4
32665: 0xBF47364B
32746: 0x870F8832
32811: 0x655C0AFD
32818: 0xF782C8BA
32824: 0xE11118D8
32898: 0x7BC5D68A
32979: 0x5A1C9AC5
32981: 0x4EFE7837
33013: 0x43AA8DD7
33022: 0x87221EC6
33046: 0x709D4C1E
33063: 0x5A0C5289
33065: 0x4EE4BF9B
33188: 0xA8C3BF24
33196: 0xCAABB5AC
33302: 0x21EBB51E
33359: 0x000AA051
33370: 0xA8FD6522
33399: 0x6562CE19
33462: 0xBF6F3EBE
33490: 0x0003FA5A
33602: 0x872A5B4A
33664: 0x5A22F120
33742: 0x70B86A16
33835: 0xD5CD1EFD
33839: 0x169D6FB1
33849: 0x4ECCB86B
33892: 0x870D11E4
33901: 0x7091966F
33905: 0x9D96EC43
33912: 0x2D30E118
33927: 0x9DBD1569
33948: 0x0B62549C
33974: 0x21ED10BE
33987: 0xB4330275
34059: 0x9266C35D
34081: 0xF7A44A33
34110: 0x870A6506
34114: 0x43A38D4A
34166: 0x21E25F7E
34206: 0x9DB19066
34210: 0xF7820EAA
34231: 0xB4339A59
34249: 0xCAA9C9BB
34294: 0xF785D3FE
34378: 0x0B431B92
34389: 0xCA9FCFB7
34418: 0x2D0414FA
34496: 0x7BFA1060
34580: 0x169BB294
34623: 0x7BCEE201
34687: 0x87063741
34695: 0x7BE77469
34726: 0x43B37F2E
34730: 0x7BC821F2
34773: 0x43B07337
34774: 0xA8C630DE
34825: 0x656E62FB
34856: 0x002079C8
34886: 0x9DA670CE
34956: 0x2D12788C
34998: 0x5A18B4BE
35000: 0x1696E958
35046: 0x0027F26E
35052: 0x9D92D4EC
35062: 0xCABF8EFE
35067: 0xD5DCD50D
35131: 0x21C4164D
35163: 0x438CEEED
35181: 0xBF60176F
35248: 0x3853CA50
35260: 0x16AEA5BC
35463: 0x43A5D369
35473: 0x2D07A5E3
35491: 0xEC6BA3D5
35523: 0xBF79E075
35568: 0xBF70F790
35663: 0xB43F5D51
35682: 0x5A383E6A
35721: 0x43B2587B
35732: 0xF7AD3714
35840: 0xB40CD1A0
35888: 0xA8DA64D0
35904: 0x708C5DE0
35912: 0x5A19EFE8
35925: 0x00105DB7
36040: 0xE13E5868
36043: 0x873A1A1D
36054: 0xA8ED3DDE
36100: 0xBF76EA84
36133: 0x43888047
36152: 0x0B5F75D8
36176: 0xBF41ABF0
36193: 0x00270973
36239: 0x0B68AC91
36291: 0xF79B4F75
36297: 0x3869B1BB
36374: 0x9250A11E
36465: 0xEC760E43
36526: 0xBF57ABF6
36610: 0xEC7F810A
36613: 0x2D3CCCA7
36670: 0x438CBF06
36684: 0x0033874C
36818: 0x2D16FF5A
36909: 0x5A19FF2F
37017: 0x5A39434B
37091: 0x7080CB15
37099: 0x657E2EBD
37198: 0xE10F4396
37279: 0xBF79EBE1
37324: 0x4EE7B9CC
37340: 0x6546E9DC
37404: 0x9DB7121C
37519: 0xA8C21591
37528: 0x7BEBE938
37568: 0xA8D25C60
37595: 0x0B769E6D
37620: 0xF78DC674
37784: 0x0B54FA38
37828: 0x003D6144
37898: 0xF7AFAB52
37934: 0xD5CF7D76
37940: 0x70A8C7B4
37950: 0x1683EC06
37956: 0x657B41C4
37994: 0x7BFB18B2
38189: 0xCAAF802F
38341: 0x8719DC67
38348: 0xB40F3DCC
38379: 0x21D087BD
38674: 0x7094C49A
38736: 0xF7AB15F0
38901: 0x7094D8D7
38907: 0x8708A00D
38973: 0xF79F35FF
39024: 0x4399ED10
39073: 0xE1319FB3
39077: 0xEC6845C7
39080: 0x9D93B248
39099: 0xE11123CD
39134: 0x0B557DA6
39143: 0x00036D49
39148: 0x43B8E4EC
39167: 0xA8F7C6C1
39318: 0x4ED5D89E
39357: 0x001D097F
39444: 0xE12BC594
39461: 0x21F44947
39463: 0xF7B33F89
39535: 0x3866C2F1
39625: 0xD5EB8ABB
39632: 0x2D10E170
39646: 0x439C8FA6
39720: 0x43A17CC8
39723: 0xA8E951FD
39746: 0xA8F8B34A
39787: 0xB40F033D
39807: 0x4392DB41
39855: 0x38501D31
39931: 0xE132B40D
39947: 0x21D9765D
39956: 0x7BFFC794
39997: 0x5A3D69FF
40083: 0x38772D85
40229: 0x92635047
40265: 0x9268033B
40295: 0x657E3BC9
40305: 0xCAAAC143
40349: 0x925033DF
40364: 0xF78251AC
40375: 0x87209259
40403: 0xE13A0BC5
40550: 0x2D2123EE
40706: 0xA8F9110A
40743: 0xF7B70889
40766: 0x439D4F06
40778: 0xA8E52C92
40818: 0x0023C5FA
40849: 0xE10B86E3
40924: 0xBF58B7DC
40950: 0x003B7DFE
40990: 0x00193EE6
41104: 0x16AEEB30
41105: 0x0B4323E3
41144: 0xE12C8158
41228: 0xEC56810C
41273: 0xA8DC216B
41550: 0x38431C96
41556: 0x9DB26DD4
41614: 0x9D818ED6
41617: 0x926E5DE3
41645: 0x2D230FAF
41670: 0x9DBFAF4E
42000: 0x385A36B0
42024: 0x439D55C8
42078: 0x0000A526
42083: 0x7BC25C95
42084: 0x5A3531E4
42086: 0x439B19EE
42087: 0x8704EEC9
42177: 0x4EEF7F53
42178: 0x21F6E0CA
42222: 0x386FC436
42231: 0x2D1B7299
42268: 0x873A851C
42392: 0x00042C38
42426: 0xBF4AD582
42493: 0x8705A8BF
42521: 0xCA80E2CB
42574: 0xBF684096
42588: 0x4EE40E5C
42688: 0x70903060
42753: 0xEC6A3093
42769: 0x4EE42063
42819: 0xBF76FEF5
42896: 0xB40E8230
42931: 0xBF6AD925
42992: 0x5A32C490
43007: 0x655541C1
43040: 0x2D2D2BC0
43148: 0x43AE988C
43207: 0x21C286A9
43340: 0x7BC8614C
43469: 0x5A11DC4F
43529: 0x7BDFFCFB
43692: 0x65723EAC
43709: 0xD5DD667F
43713: 0xB437AD53
43738: 0xBF4C49A2
43756: 0x43ABB6EC
43774: 0xB41B98C6
43890: 0x7BD3F1FA
43936: 0x7BC35740
44001: 0x43865DF3
44215: 0x9DBEAD59
44248: 0xF7828778
44306: 0x16996A9A
44339: 0x1691C4A5
44394: 0x3871A9B2
44398: 0xCA9870B6
44415: 0x656FD541
44458: 0x9D9097F2
44510: 0xD5FDBAA6
44637: 0x0032ED9F
44752: 0x386BB570
44788: 0x4387E274
44794: 0xF79D54C2
44834: 0x924D9C2A
44863: 0x43A02A01
44879: 0xB41A5151
44983: 0x9D9A4C59
44988: 0x38788BBC
44990: 0x7BF6E386
45136: 0xE1189EF0
45390: 0x70B86396
45402: 0xF79F1C22
45410: 0xB439F46A
45422: 0xA8CF94B6
45499: 0xB43920CD
45508: 0x8737FF44
45581: 0x4EF1978F
45636: 0x0011DFC4
45658: 0x7BCC1522
45723: 0x2D3ADD2D
45731: 0xD5F56BD5
45762: 0x4EEB3ECA
45772: 0x0037BACC
45797: 0xA8D56307
46058: 0xEC7F1C32
46070: 0x9259B1FE
46092: 0xD5DB340C
46119: 0x5A2E2189
46128: 0x0B4C0CD0
46129: 0xB4293503
46191: 0x5A0DE4F1
46223: 0x925ADF91
46246: 0x5A2D342E
46282: 0x926C3612
46295: 0xB415A3F9
46353: 0x873EB663
46606: 0xE1069E56
46616: 0x654344B8
46618: 0xD5DC5AE2
46646: 0xF7A99E3E
46709: 0x2D0A1557
46738: 0x3860781A
46845: 0x21DB05BF
46846: 0x16BC04C6
46928: 0xEC4935F0
47065: 0xCA963D8B
47068: 0x70BBCFDC
47078: 0x5A11F96E
47089: 0xE133C1C3
47103: 0xF7B291C1
47146: 0x4ECD6E72
47203: 0xB4034095
47205: 0x7BF79A87
47310: 0x7BEC8716
47326: 0xBF469DA6
47365: 0x9D9A2EA7
47412: 0xE1076CB4
47556: 0xB40E0744
47561: 0x65692DBB
47644: 0xE1043A1C
47697: 0xE10F4EA3
47715: 0xEC4E8A95
47758: 0x16B866D6
47802: 0x0B42C282
47861: 0xBF7A3FD7
47903: 0xCABD3361
47971: 0x9D822F95
47986: 0x4EE981FA
48082: 0xF7B44B5A
48158: 0x5A183AE6
48232: 0x4EF8E208
48255: 0xF7A35041
48303: 0x7BE65231
48308: 0x8712B034
48333: 0x70A9134F
48338: 0x9DA9245A
48353: 0xEC720AF3
48358: 0xEC56466E
48410: 0x001029E2
48414: 0x4ED6C3E6
48446: 0xB4045D06
48497: 0xE10E6143
48513: 0x2D0DDD13
48555: 0x2D2D1E7D
48605: 0x871D371F
48613: 0xEC66D207
48644: 0x21FCDB84
48669: 0x873DDA5F
48685: 0xBF4BD52F
48699: 0x21E89F4D
48711: 0xCA81DA29
48762: 0xEC5CA842
48835: 0x9D856475
48850: 0xF79ED65A
48939: 0x0B5305FD
48991: 0x872A3CA1
49055: 0xCA8D31E1
49105: 0x5A372E23
49174: 0x43AD231E
49200: 0xF78158D0
49217: 0x384D7CD3
49220: 0x7BEC6DC4
49252: 0x2D184DE4
49312: 0xBF455C40
49316: 0xF78FBE24
49383: 0x9DA9B549
49391: 0x16ABAB71
49417: 0x7BC4B7FB
49451: 0x70BB8FFD
49463: 0xE112EBD9
49480: 0xEC4234E8
49532: 0x8705157C
49588: 0x4EDB3534
49603: 0x0B56D375
49619: 0x00183FC5
49631: 0xF79E1121
49718: 0xCAB48A3E
49735: 0xE123AE29
49739: 0x0B6BC59D
49830: 0xE112722E
49881: 0xD5F5DC8B
49919: 0x871CB8C1
49943: 0xA8C19739
